,Token,Token Frequency
142,people,0.142
100,black,0.1
65,like,0.065
62,police,0.062
48,trump,0.048
43,shot,0.043
42,way,0.042
41,know,0.041
41,white,0.041
39,day,0.039
38,need,0.038
38,love,0.038
37,time,0.037
35,good,0.035
33,#NAME?,0.033
33,cops,0.033
32,think,0.032
31,new,0.031
31,man,0.031
31,right,0.031
30,change,0.03
29,twitter,0.029
28,killed,0.028
28,want,0.028
28,today,0.028
27,president,0.027
26,shit,0.026
26,got,0.026
25,fact,0.025
25,let,0.025
25,️,0.025
25,going,0.025
25,floyd,0.025
24,social,0.024
24,times,0.024
23,person,0.023
23,stop,0.023
22,check,0.022
22,bad,0.022
22,george,0.022
22,lives,0.022
21,2,0.021
21,men,0.021
21,video,0.021
21,media,0.021
20,country,0.02
20,able,0.02
20,needs,0.02
20,years,0.02
20,feel,0.02
20,fuck,0.02
19,mail,0.019
19,y’,0.019
19,riots,0.019
19,work,0.019
19,old,0.019
19,minneapolis,0.019
18,said,0.018
18,cop,0.018
18,😂,0.018
17,justice,0.017
17,car,0.017
17,nt,0.017
17,different,0.017
17,thought,0.017
17,fight,0.017
17,thing,0.017
16,look,0.016
16,women,0.016
16,best,0.016
16,seeing,0.016
16,rioting,0.016
16,care,0.016
16,u,0.016
16,violence,0.016
16,😭,0.016
16,house,0.016
15,history,0.015
15,federal,0.015
15,10,0.015
15,thank,0.015
15,free,0.015
15,support,0.015
15,end,0.015
15,help,0.015
15,life,0.015
15,things,0.015
15,❤,0.015
14,family,0.014
14,brother,0.014
14,killing,0.014
14,maybe,0.014
14,use,0.014
14,protest,0.014
14,murdered,0.014
14,matter,0.014
14,kill,0.014
14,state,0.014
14,🙏,0.014
14,🏻,0.014
